,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url,duration_ms,time_signature,artist_pop,genres,track_pop
37,Lana Del Rey,Norman Fucking Rockwell!,Cinnamon Girl,2mdEsXPu8ZmkHRRtAdC09e,0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781,https://api.spotify.com/v1/tracks/2mdEsXPu8ZmkHRRtAdC09e,https://api.spotify.com/v1/audio-analysis/2mdEsXPu8ZmkHRRtAdC09e,300683,5,90,art_pop pop,85
38,Lana Del Rey,Norman Fucking Rockwell!,California,7oTE1KmtU2ml9zBhv9Reao,0.449,0.41,9,-8.067,0,0.0317,0.761,0.0,0.0631,0.195,123.758,https://api.spotify.com/v1/tracks/7oTE1KmtU2ml9zBhv9Reao,https://api.spotify.com/v1/audio-analysis/7oTE1KmtU2ml9zBhv9Reao,305900,4,90,art_pop pop,68
39,Lana Del Rey,Norman Fucking Rockwell!,The greatest,6ERZ30cRjVWGtVLhczX9aL,0.443,0.226,2,-12.507,0,0.0359,0.939,0.0201,0.14,0.196,79.142,https://api.spotify.com/v1/tracks/6ERZ30cRjVWGtVLhczX9aL,https://api.spotify.com/v1/audio-analysis/6ERZ30cRjVWGtVLhczX9aL,300361,3,90,art_pop pop,68
40,Lana Del Rey,Norman Fucking Rockwell!,Happiness is a butterfly,3lG6OtGDsYAOALxEmubQQm,0.467,0.119,2,-10.99,1,0.0401,0.969,1.4e-06,0.0973,0.156,70.499,https://api.spotify.com/v1/tracks/3lG6OtGDsYAOALxEmubQQm,https://api.spotify.com/v1/audio-analysis/3lG6OtGDsYAOALxEmubQQm,272485,4,90,art_pop pop,79
41,Lana Del Rey,Norman Fucking Rockwell!,hope is a dangerous thing for a woman like me to have - but I have it,0fB77VOZ2FkQeKLv1DuEwp,0.49,0.104,4,-13.208,0,0.0635,0.964,0.0,0.162,0.278,86.675,https://api.spotify.com/v1/tracks/0fB77VOZ2FkQeKLv1DuEwp,https://api.spotify.com/v1/audio-analysis/0fB77VOZ2FkQeKLv1DuEwp,324499,4,90,art_pop pop,69
42,Lana Del Rey,Blue Banisters,Beautiful,5uPpzqixdzAMXprr4P5aT5,0.552,0.202,6,-10.685,1,0.043,0.96,0.00154,0.225,0.237,78.021,https://api.spotify.com/v1/tracks/5uPpzqixdzAMXprr4P5aT5,https://api.spotify.com/v1/audio-analysis/5uPpzqixdzAMXprr4P5aT5,215760,4,90,art_pop pop,58
43,Lana Del Rey,Lust For Life,Love,2Kerz9H9IejzeIpjhDJoYG,0.527,0.366,10,-10.943,1,0.0277,0.487,0.0023,0.11,0.234,98.994,https://api.spotify.com/v1/tracks/2Kerz9H9IejzeIpjhDJoYG,https://api.spotify.com/v1/audio-analysis/2Kerz9H9IejzeIpjhDJoYG,272743,4,90,art_pop pop,71
44,Lana Del Rey,Lust For Life,Lust For Life (with The Weeknd),0mt02gJ425Xjm7c3jYkOBn,0.504,0.655,0,-8.644,0,0.0542,0.604,0.00193,0.364,0.262,99.982,https://api.spotify.com/v1/tracks/0mt02gJ425Xjm7c3jYkOBn,https://api.spotify.com/v1/audio-analysis/0mt02gJ425Xjm7c3jYkOBn,264066,4,90,art_pop pop,74
45,Lana Del Rey,Chemtrails Over The Country Club,Chemtrails Over The Country Club,7bPWdJgx8vek7S5i5yAtvG,0.334,0.276,4,-13.125,0,0.0643,0.877,0.000249,0.113,0.429,201.025,https://api.spotify.com/v1/tracks/7bPWdJgx8vek7S5i5yAtvG,https://api.spotify.com/v1/audio-analysis/7bPWdJgx8vek7S5i5yAtvG,271177,3,90,art_pop pop,77
46,Lana Del Rey,Ultraviolence (Deluxe),Brooklyn Baby,1NZs6n6hl8UuMaX0UC0YTz,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,https://api.spotify.com/v1/tracks/1NZs6n6hl8UuMaX0UC0YTz,https://api.spotify.com/v1/audio-analysis/1NZs6n6hl8UuMaX0UC0YTz,351640,4,90,art_pop pop,83
47,Lana Del Rey,Ultraviolence (Deluxe),Money Power Glory,7Ms58r8G6Y0r1XLtpwoGxN,0.349,0.525,8,-6.829,0,0.0451,0.583,0.0,0.35,0.288,136.762,https://api.spotify.com/v1/tracks/7Ms58r8G6Y0r1XLtpwoGxN,https://api.spotify.com/v1/audio-analysis/7Ms58r8G6Y0r1XLtpwoGxN,270680,5,90,art_pop pop,68
48,Lana Del Rey,Ultraviolence (Deluxe),Fucked My Way Up To The Top,70Laus6ozJIHDpfTtUSmAZ,0.52,0.69,5,-5.919,1,0.0554,0.601,0.201,0.137,0.182,129.839,https://api.spotify.com/v1/tracks/70Laus6ozJIHDpfTtUSmAZ,https://api.spotify.com/v1/audio-analysis/70Laus6ozJIHDpfTtUSmAZ,212227,4,90,art_pop pop,66
49,Lana Del Rey,Ultraviolence (Deluxe),Florida Kilos,0iQPnK3bi7O27c5T2HBTdr,0.266,0.513,0,-7.852,1,0.0388,0.28,5.98e-05,0.11,0.579,200.781,https://api.spotify.com/v1/tracks/0iQPnK3bi7O27c5T2HBTdr,https://api.spotify.com/v1/audio-analysis/0iQPnK3bi7O27c5T2HBTdr,256040,4,90,art_pop pop,68
50,Lana Del Rey,Ultraviolence (Deluxe),Old Money,6IfPyMb0Sxptpx6jBUATOS,0.312,0.168,10,-12.476,0,0.0332,0.888,6.59e-06,0.147,0.154,108.115,https://api.spotify.com/v1/tracks/6IfPyMb0Sxptpx6jBUATOS,https://api.spotify.com/v1/audio-analysis/6IfPyMb0Sxptpx6jBUATOS,271480,1,90,art_pop pop,69
51,Lana Del Rey,Honeymoon,The Blackest Day,45pI8224KKX9Gx5fiyvEAh,0.445,0.522,2,-8.007,1,0.0331,0.363,0.000487,0.0797,0.162,107.752,https://api.spotify.com/v1/tracks/45pI8224KKX9Gx5fiyvEAh,https://api.spotify.com/v1/audio-analysis/45pI8224KKX9Gx5fiyvEAh,365760,4,90,art_pop pop,71
52,Lana Del Rey,Born To Die,Born To Die,3eRZZ4d2RJSqFKzP7tSdFE,0.18,0.636,4,-6.591,0,0.0438,0.209,0.000133,0.217,0.39,75.632,https://api.spotify.com/v1/tracks/3eRZZ4d2RJSqFKzP7tSdFE,https://api.spotify.com/v1/audio-analysis/3eRZZ4d2RJSqFKzP7tSdFE,286253,3,90,art_pop pop,57
53,Lana Del Rey,Born To Die,Off To The Races,7grzMnF1FHponm2aJBWj8E,0.4,0.722,4,-5.566,0,0.062,0.061,0.00171,0.4,0.136,160.065,https://api.spotify.com/v1/tracks/7grzMnF1FHponm2aJBWj8E,https://api.spotify.com/v1/audio-analysis/7grzMnF1FHponm2aJBWj8E,299920,4,90,art_pop pop,53
