artist,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
The Lumineers,Life In The City,5WyL4ZuwJ06qVd8X5bf2b5,0.743,0.57,0,-7.376,1,0.0335,0.506,5.18e-05,0.0994,0.273,97.005,77,folk-pop modern_rock stomp_and_holler,56,"['folk-pop', 'modern_rock', 'stomp_and_holler']",low,neutral
Coyote Theory,This Side of Paradise,79EkGysjP2dL5GdpeQjRxT,0.306,0.664,9,-6.07,1,0.0276,0.432,7.5e-06,0.135,0.321,158.283,61,unknown,80,['unknown'],low,neutral
Lana Del Rey,Venice Bitch,3hwQhakFwm9soLEBnSDH17,0.368,0.286,9,-13.031,0,0.0294,0.913,0.177,0.099,0.312,77.826,90,art_pop pop,70,"['art_pop', 'pop']",low,neutral
Lana Del Rey,Love song,5tyMJlMqaggzvuX7TtlrTe,0.384,0.0701,9,-16.512,1,0.0367,0.966,0.00017,0.0805,0.288,63.425,90,art_pop pop,70,"['art_pop', 'pop']",high,positive
Lana Del Rey,Cinnamon Girl,2mdEsXPu8ZmkHRRtAdC09e,0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781,90,art_pop pop,85,"['art_pop', 'pop']",low,neutral
Lana Del Rey,California,7oTE1KmtU2ml9zBhv9Reao,0.449,0.41,9,-8.067,0,0.0317,0.761,0.0,0.0631,0.195,123.758,90,art_pop pop,68,"['art_pop', 'pop']",low,neutral
Lana Del Rey,The greatest,6ERZ30cRjVWGtVLhczX9aL,0.443,0.226,2,-12.507,0,0.0359,0.939,0.0201,0.14,0.196,79.142,90,art_pop pop,68,"['art_pop', 'pop']",high,positive
Lana Del Rey,Happiness is a butterfly,3lG6OtGDsYAOALxEmubQQm,0.467,0.119,2,-10.99,1,0.0401,0.969,1.4e-06,0.0973,0.156,70.499,90,art_pop pop,79,"['art_pop', 'pop']",low,positive
Lana Del Rey,hope is a dangerous thing for a woman like me to have - but I have it,0fB77VOZ2FkQeKLv1DuEwp,0.49,0.104,4,-13.208,0,0.0635,0.964,0.0,0.162,0.278,86.675,90,art_pop pop,69,"['art_pop', 'pop']",high,negative
Lana Del Rey,Beautiful,5uPpzqixdzAMXprr4P5aT5,0.552,0.202,6,-10.685,1,0.043,0.96,0.00154,0.225,0.237,78.021,90,art_pop pop,58,"['art_pop', 'pop']",high,positive
Lana Del Rey,Love,2Kerz9H9IejzeIpjhDJoYG,0.527,0.366,10,-10.943,1,0.0277,0.487,0.0023,0.11,0.234,98.994,90,art_pop pop,71,"['art_pop', 'pop']",high,positive
Lana Del Rey,Lust For Life (with The Weeknd),0mt02gJ425Xjm7c3jYkOBn,0.504,0.655,0,-8.644,0,0.0542,0.604,0.00193,0.364,0.262,99.982,90,art_pop pop,74,"['art_pop', 'pop']",low,neutral
Lana Del Rey,Chemtrails Over The Country Club,7bPWdJgx8vek7S5i5yAtvG,0.334,0.276,4,-13.125,0,0.0643,0.877,0.000249,0.113,0.429,201.025,90,art_pop pop,77,"['art_pop', 'pop']",low,neutral
Lana Del Rey,Brooklyn Baby,1NZs6n6hl8UuMaX0UC0YTz,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,90,art_pop pop,83,"['art_pop', 'pop']",low,neutral
Lana Del Rey,Money Power Glory,7Ms58r8G6Y0r1XLtpwoGxN,0.349,0.525,8,-6.829,0,0.0451,0.583,0.0,0.35,0.288,136.762,90,art_pop pop,68,"['art_pop', 'pop']",low,neutral
Lana Del Rey,Fucked My Way Up To The Top,70Laus6ozJIHDpfTtUSmAZ,0.52,0.69,5,-5.919,1,0.0554,0.601,0.201,0.137,0.182,129.839,90,art_pop pop,66,"['art_pop', 'pop']",high,negative
Lana Del Rey,Florida Kilos,0iQPnK3bi7O27c5T2HBTdr,0.266,0.513,0,-7.852,1,0.0388,0.28,5.98e-05,0.11,0.579,200.781,90,art_pop pop,68,"['art_pop', 'pop']",low,neutral
Lana Del Rey,Old Money,6IfPyMb0Sxptpx6jBUATOS,0.312,0.168,10,-12.476,0,0.0332,0.888,6.59e-06,0.147,0.154,108.115,90,art_pop pop,69,"['art_pop', 'pop']",low,positive
Lana Del Rey,The Blackest Day,45pI8224KKX9Gx5fiyvEAh,0.445,0.522,2,-8.007,1,0.0331,0.363,0.000487,0.0797,0.162,107.752,90,art_pop pop,71,"['art_pop', 'pop']",low,neutral
Lana Del Rey,Born To Die,3eRZZ4d2RJSqFKzP7tSdFE,0.18,0.636,4,-6.591,0,0.0438,0.209,0.000133,0.217,0.39,75.632,90,art_pop pop,57,"['art_pop', 'pop']",low,neutral
Lana Del Rey,Off To The Races,7grzMnF1FHponm2aJBWj8E,0.4,0.722,4,-5.566,0,0.062,0.061,0.00171,0.4,0.136,160.065,90,art_pop pop,53,"['art_pop', 'pop']",low,neutral
Lana Del Rey,Video Games,5by7gtiDrxe4n2qQQunL8S,0.39,0.255,6,-9.676,0,0.0299,0.806,1.14e-06,0.0887,0.179,122.056,90,art_pop pop,55,"['art_pop', 'pop']",low,neutral
Lana Del Rey,Dark Paradise,0rbuGVyW18IpX0bhA3P4Oh,0.586,0.641,1,-8.342,0,0.0634,0.12,0.0,0.168,0.402,120.015,90,art_pop pop,51,"['art_pop', 'pop']",high,negative
Lana Del Rey,Radio,45dAw6GXEsogcDF3NUgj3O,0.312,0.841,2,-5.244,1,0.0846,0.217,2.38e-05,0.0876,0.185,75.112,90,art_pop pop,56,"['art_pop', 'pop']",low,neutral
Lana Del Rey,Carmen,0LKYAQdeUDxqqL4O6qUzsD,0.487,0.426,1,-9.56,0,0.0317,0.0879,0.000392,0.128,0.0376,100.056,90,art_pop pop,49,"['art_pop', 'pop']",low,neutral
Lana Del Rey,Summertime Sadness,4cKtn8Shw999egpwBmWQmp,0.565,0.647,1,-6.789,0,0.0334,0.0456,0.0,0.121,0.216,111.931,90,art_pop pop,52,"['art_pop', 'pop']",low,neutral
lovelytheband,broken,6XcfKZvJio9Z0fQy11GnNX,0.666,0.728,7,-5.808,1,0.0419,0.00175,4.26e-06,0.0429,0.51,122.996,57,modern_alternative_rock pov:_indie,69,"['modern_alternative_rock', 'pov:_indie']",high,negative
GROUPLOVE,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,63,indie_rock la_indie modern_alternative_rock modern_rock pov:_indie shimmer_pop,80,"['indie_rock', 'la_indie', 'modern_alternative_rock', 'modern_rock', 'pov:_indie', 'shimmer_pop']",low,neutral
5 Seconds of Summer,Ghost Of You,1MhXdlCQPnO56T57MfmaRm,0.458,0.561,10,-4.819,1,0.0269,0.0965,0.0,0.156,0.206,149.875,77,boy_band pop,74,"['boy_band', 'pop']",low,neutral
Cigarettes After Sex,Apocalypse,3AVrVz5rK8Hrqo9YGiVGN5,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,80,ambient_pop dream_pop el_paso_indie shoegaze,78,"['ambient_pop', 'dream_pop', 'el_paso_indie', 'shoegaze']",low,neutral
BETWEEN FRIENDS,affection,2lTtnKQgjbrBA1qnOFhBkP,0.273,0.565,2,-7.283,1,0.248,0.516,1.68e-06,0.0855,0.298,179.518,57,indie_pop la_pop pov:_indie,1,"['indie_pop', 'la_pop', 'pov:_indie']",low,neutral
